Channel id,Channel Name,Total Videos,Subscribers,Total Views,,,
UCcYhsGhRXbs1k_Btv4Lm8JQ,Hello Kudanthai ,1855,184000,291446730,,,
UCC534b8u0drwHn9FQrL_CdQ,S - Media House,2273,183000,380655021,,,
UCsb48vgqH7T-CY56sckA3Ww,????????? ??????????? ?????,1268,175000,162134126,,,
UC3jcdpf8dWtljex9PyhSM6w,Dinamani,13396,171000,65155841,,,
UCoqEpN2uOtQ18icl_Er6TJA,IBC Pluz,5972,170000,58290587,,,
UCM6qLZeo7AhAMhW9HkAQSsQ,Bye Bye Stalin,2500,164000,8510275,,,
UCSGCRJma2ibTEZhH24aq4mQ,TN2K Topics,1185,163000,248044149,,,
UCwd1LTqe1mxmngyLgbQvjLQ,Fake Id,244,159000,16751099,,,
UCeL2C0sQCcuuI5iXPdmD8iQ,BEES CLIPS,1425,158000,119022262,,,
UC4IK1I4SFD4HlyUZrlAipmg,Theedhum News,1644,156000,94281203,,,
UC6Dnbfvqk6uceqkidXhdBDA,Black and White Tamil 360 - BWTamil360,9238,151000,59440088,,,
UCqGKJvslDK-CmUoyIJTHv-A,Nadu Viral - MIDDLE FINGER,1059,151000,47539006,,,
UCYmUbCx3q38TJo4_qN-_uAA,Kumudam News 24x7,41728,150000,87179870,,,
UCVYbSKPp72PdmD2jZE2DhDA,Naadhas,7906,149000,49272059,,,
UCaAD0UR5rBLFAqhxymgKhtw,Arivalaya Suvadugal,2651,147000,13532476,,,
UC-FwG__FDNuKWKjbmW93XRQ,Accord Voice,5020,147000,61608179,,,
UCx1d-sjtHAyPPPlr9XSUbsg,Sicp,10685,147000,38168852,,,
UCO02Vuj3n6hLWDyZC-w8vhA,Spark Media,2782,145000,92122292,,,
UCqE97_Oy3Lm342TSBgqeAoQ,????? ???????? ?????  ???????,165,145000,19080122,,,
UCBQbq0KhjHIV4hqJpoITKRQ,Infinity Plus,2045,137000,113100774,,,
UCxJjTPUuMCFlMSduQGLQ81g,Dinesh Outlook,343,135000,110528642,,,
UCM21iuBbHpUjRDmuBtoh2aw,OH Tamil,11128,134000,49988466,,,
UCfUWjCST1Y3thSBD2jkn5Eg,Roadside Ambanis,2727,133000,40007846,,,
UCkmxMHxy9rzqa7ToYvNWBRA,ROAST BROTHER'S ,1306,133000,47929913,,,
UCbNaz_twvlbk1w4NJ54Hmhg,The News Minute Tamil,731,130000,14032778,,,
UCsE-m2bJX9mS97R4Tf4Q7HQ,Red Tamil TV,4903,126000,141456526,,,
UCAlr_JdE9IFStnm3H9OdeIw,Open Talk Media,830,120000,104238305,,,
UCHzsN38dQG9iax7W6RAjQMg,Arasiyal Arasan,405,118000,12941982,,,
UCO8YENGpX4IG1uF7lAXbMcg,REACT TAMIZHA,749,118000,43674977,,,
UCpa0Im2yr3JpzsStbXUUB7g,MannatSurya07,261,117000,87173966,,,
UCjRFRhYL5jLZHBv3z6mZ61w,Gem TV Digital,11519,116000,39978284,,,
UCzhcnubuEIsDCFZ4yAIy1Nw,Tamilnadu Times | ????????? ??????,5084,114000,52821091,,,
UC_S0wYG3aXp2B_8YD8kQwng,Vijay ,2352,112000,207756063,,,
UC0iTIL5d0EMRC1ZY9HPdL7Q,DMKITwing,3308,112000,64695129,,,
UCQ_Z0SjUhPnW51sw_SxtVSA,One Click TV,255,112000,1548177,,,
UC4Ged3rOtaTHlr8mtRYMnSg,TrollTube,281,111000,10016048,,,
UCPE9uEcDKRaGq7G9yJVg91w,The Week,4054,111000,33009706,,,
UCzu6FacnXJ6wDT75UwpJKZA,Voice Of Lingesh,3569,110000,70556455,,,
UC9xrnozgZURuXHOJ-cXG1jw,Kalam Politics,608,104000,1181338,,,
UCKkd-3kZDo1pl3LrEYKmM3g,NewsNesan,905,104000,17018552,,,
UCWMQWKXGDlbwkgQ2-1Ue7Xg,#DMK4TN,1870,103000,71294783,,,
UCg3AWmBwFg8MIyNGjcUTI5A,CHATURANGA MEDIA,8689,102000,107659011,,,
UCKX9-ZBwUlWKSQLy93D7_5w,GVMC MEMES ,71,102000,23860227,,,
UCVMzsMMviQMtHomtTl8Kcvg,Anand Edits835,6106,101000,403208107,,,
UCJpKFpOmMN7e5fXvqcUTCtA,TVK Maanavan,564,100000,91221400,,,
UCT1g4web4B2kcA93CtmJl5A,Ottrancheithi,1877,100000,75887617,,,
UCCsMswwObSErqEmh3cRxHRg,Channel 5 News,8090,99000,20417211,,,
UC4b4z-1ArJkBxvgVAarLP4g,ASR Tamil,2247,97200,28538519,,,
UCx1DNF1_JzhJ1anEvoWgABg,kelvi 24x7,2055,96000,22547150,,,
UCJ9OlhbzLUldWZxGw3XFKqw,GlowUpGuideNaturally,1035,94700,193374700,,,
UCrKgAsKczJFuYLtKxfsWa0A,inandout lifestyle,3239,92800,71033726,,,
UC6iR8IIbHuvhLT6P8sMz5oA, ??? -nglish,1651,91400,83956268,,,
UC1ksy_AqyALR84hcE9GVlaQ,TnDigital 24,1667,88200,5014658,,,
UC5gvz6R6V8NpF07HcYb-jkw,Samaniyar,2928,86000,24023452,,,
UCAkpPzidZPzl8dZEeXeWqcg,Mediagrass Tamil,2610,85700,52934006,,,
UCLy-FYHY-C4k-OgNPVjSr5A,VJ BLACKY MOHAN,2154,82100,36040780,,,
UC7A4vcE53CODaNykQ7FT4Eg,Arasiyal MEDAI,2152,81300,23195552,,,
UClhCkWXkjU4luprGcsk5W1g,A.K 2K kid youtube channel,854,81200,150481532,,,
UCQfHBgLUVbAHu-9O89kSjQw,ETV Bharat Tamil Nadu,9013,79900,40581296,,,
UCSkaDR_yojMnLF3o6k_QBog,Vijay Mania,724,76900,9607032,,,
UCwauPvcJoGV98-SRQH9NeLQ,Madurai Munis Official ,2215,76600,23825198,,,
UCHMh8705rMX82feFYVLB_pg,??????,1431,76400,41763207,,,
UCAuWOBleGyUFYbRAUpmcoiw,Bingoo Box Prime,372,75600,41006596,,,
UCcL3sP9PfvAe3FXh2byrDDw,dmk_karthik_,6765,74600,62875303,,,
UCOl2emfu4PwQc605Jj-FcHw,Punnagai24X7,1955,73400,14630659,,,
UCpx95w414uXYXpVCHt-PLkQ,Filmify,2257,73100,47001296,,,
UCEjQ4HYM_zuQCdSXcG88FlA,trending cricket and cinema news,960,72800,26062773,,,
UCJyOXZ5frLWCuIDaHNlbeCw,Popular Politics,232,72000,107953996,,,
UCE6jR_ge9ecOK0sIi7kwT7g,Pattas,1174,71500,11597285,,,
UCBLpQW4Is6yVGfJ0ov-79KA,Dmk Thiruvarur,4148,71100,43398080,,,
UCaIDbyVXrrxwM_CbeZAarQg,TVK official,472,70500,86885885,,,
UCHlgDxOyyJa_VUcMLo7VZLg,Thalapathyfansclub,1177,70100,137755725,,,
UCuTTspT4fEhg7Zk_Q7lcYLw,LOOSER Creations ,724,69200,117692783,,,
UCohJVhOE8hXlg2WDW39WqCg,Realone Tamil,1155,68200,26652442,,,
UCEPCNFSA7yoGGhu54LYmAfw,?????? ???? TV,1574,67800,83657538,,,
UCxIKpM5ZooMdhPYkwaOLsBg,Tamilan Media,706,65500,24227249,,,
UClUYLGBNB9SFt9CJ1mvdjvA,Arasiyal Kalam,519,63600,23773455,,,
UCPTEwNl2h0f3eim9e_xUMig,Tamil Fleet,542,63600,66435681,,,
UCUUUeImW2tbA4IqBofBiBPg,Arasiyal News (??????? ???????),1978,61300,37249972,,,
UC1GAjOgcVGkFdm2qeHj2SHA,Nallavan Tv,957,60800,16322345,,,
UC8hJ8OtDeUMV5vxKYi0ANoA,Emirates Tamil News,2014,60400,46868620,,,
UCfS79eXA3KXB45nRdA7XzkA,Unga Vijay,442,59600,71774924,,,
UCKjqeYd4SfJB6CvNM63crqg,Talk2People,3028,59300,233332324,,,
UCTk8hXl-RTp9JFStHspm0Pg,Parthathupadithathu ,139,58700,3731064,,,
UCMX8Uj3vYX3LfyDeb3EHPLA,SR talkies,79,58100,103203975,,,
UC1NM2cNZiXmC49D2SdNwc8g,RR Tamil,1477,57400,33510680,,,
UC3pVqCRQoCjGCvhwuLI4ECQ,ValaiOli Alaivarisai,1389,55600,64295782,,,
UC-rZOJH-74rFAN_hmtDY--g,Arasiyal Palaguvom ,351,55600,48028190,,,
UChXEJAWDcN9sHu-UhaifFMw,Color Kannadi Voice,3946,55500,41945065,,,
UCBbkJIjBUE8UCtaYxmY-I0Q,Hariharan G,7188,55400,224027416,,,
UCnfDznUucXCXLvx8EoO48Wg,Thiruvizha Channel,695,53400,56875350,,,
UCIiMsRJymLdYz7WsVRKXBQg,People’s Path,663,53300,31548102,,,
UCTjhw9lQt398MMjw0mQhbfw,Naan Pollathavan,1573,53200,31258310,,,
UChSrQCFJpr764GLaICAxXNA,Sharp Tamil Media ,503,51700,27427255,,,
UC8sOE-wxzc9bh9fkTJTAE0Q,TROLLS THAMIZHA 2.0,157,49900,17738825,,,
UC-t-mXKIc8ISAt9VJhmmV0g,Thalapathy,871,49400,16478010,,,
UCR3sO3W8yiLIGyTe--lxseg,Screen TN Media,6776,49300,33683283,,,
UCdXNK3_kuXhGbxdo4V-8nyg,Trending Tamil,2010,49100,29844949,,,
UCnTkkez2SBD1bCazqABUFNQ,Sudhan Karunanithi,323,48600,20137403,,,
UCFYJDSIK-4b4EJlBRiZEiRA,Thisai News Tamil,1829,48400,41142666,,,
UCG1fnC8GIHumiNM5IAC-ejA,V Plus News,151,47400,4267727,,,
UCnbIuOluRlfOD5_ul_lTMaA,Thoothukudi S. Joel,203,47100,719833,,,
UCkWTtiQQegv_Qyr1hj7rRHQ,Retro Voice,2645,47000,25122072,,,
UCsa0EWzBM0w43I0tq0nftCg,TN Troll Media,1071,46600,15604596,,,
UCjd9w60iAiA-SN4wP-sp15A,yeenga makkale,11,46000,3226327,,,
UCXKHba238jU_O298f2Cz3SQ,CUTE DIVINE ,417,45800,29425838,,,
UCtHvzfQBNBmp9K0kS0kbp-g,umbrella,2772,45500,26505713,,,
UCrnJk01J3SRhoItGG6VIDyw,Kiruba Leakes,2572,44600,33291709,,,
UC2S-PCEHkB034IyJh8Ha7pg,7Animators,221,44400,47109989,,,
UC0GPD4Q7CyZ0NsOb1dUKchA,Tamizhian pulse,3159,44100,26086633,,,
UCy4qVgJ0_qEQIIi9ucWEl5Q,TVK ,1235,43800,23473955,,,
UCeWP2g9cf4ZPDU1EqmxgB7w,V4U 360°,769,43700,37221866,,,
UCjmeMUv50DPlxW4Mf5AhYzA,PT Trichy,693,43600,17414632,,,
UCxyjilLBTafT70QY0Gg0Xpw,Aathesh Studio,423,43600,13282111,,,
UCGWdxKP7HGYf7GI3c242glA,Reports Now,1309,43500,26337354,,,
UCjIvadExUonIhFgPxAyx_hw,MR BALA,84,43500,12916404,,,
UC8Hf16vXXVly9A_5puEh_gA,Take 1 Arasiyal,2079,42500,18848345,,,
UClc9VQFWswkj9e-nl-fSsIA,Kshathriyan Media,1168,42000,23047444,,,
UCiunl7zQECxQq-wRmeUWsGQ,Anbil to Arivalayam,1383,41700,20738751,,,
UCo1M3SvF5vKHS0RSFCxe11Q,TNVFC Official,287,40700,21341274,,,
UCypySlVipHvZpRWfs7Wm7qQ,?????????i ??ueen,629,40700,34530371,,,
UCJaZdJuF7Z-rq60kCwIXRGw,Thi Tamil,1533,40300,15175504,,,
UCSKaULjWVoIk6mEyTmsvF6w,Don couples,1536,40300,13668971,,,
UCKmKdrCX0pXnRuBZQAeHS_A,Kathir News ,4330,40100,17743126,,,
UClXSZKZGDdu1PUEf6cwRUiQ,VOICE OF EPS ,409,40000,417523,,,
UCx4wuXA1qaIzXUK6DewcyBw,TVK IT Wing VIRUDHUNAGAR West,8,39800,2793,,,
UCNJKWpXtUQAW1Bdo13Z7U8A,Vaagai Tamil,2351,39700,12714632,,,
UClf9Y2DjGVPQDeIGcfns90w,iKey Boss,1522,39500,7953254,,,
UCrTZZ5d6LbU2RtbuvtUwv1Q,POV,528,39000,23325695,,,
UCKAcI7Cz-48nbGF68YQgIcw,LEMURIA STUDIO,611,38000,21089328,,,
UCBCsdYXrAsfn_vt2akZ6F0w,RV Charanya,473,37600,8782485,,,
UCsa3swL_msYlxsPbVfvR9Hg,PETER DINESH,676,37600,158890441,,,
UCzc0Rtcb6djmQg97pimDDKw,JOURNALISM,356,37200,21241018,,,
UCrXkXUa7qwHMUs-JY0ftoiw,Malai Tamil TV,1644,36600,19062133,,,
UCZozX1aaOMiaexDyMLS7kog,AIADMK Official,1716,36200,32431230,,,
UCj9KFmqgdR6ANrXuT3otMWQ,AKBAR TVK,222,36100,31286065,,,
UC2vPZhyd_hTKGewJeVStJ4Q,Dmk Favoured TV ,2196,36000,4501993,,,
UCFcrSc70OdDU-M2Zg3pasRw,Sigappu Nada,1448,35700,2526317,,,
UCVs3RJmDrHxw2i4GQQYUEUQ,Vanakkam Salem TVK,126,35700,10498579,,,
UCYvFD7zDZgbWbkA2lxyEf0Q,Mr.MIDDLE CLASS ADVOCATE,50,35600,27660570,,,
UC5l2sUp6fQ5s8uqm7LEgZcg,??? ?????????,8378,35400,67147851,,,
UCpjWy0n2ybR9qmkOa6pB3PQ,Voice Of Kathir,19,35000,385092,,,
UCew3IuSPFG-TEIeiW7dqdOg,variety track,1582,34700,31998857,,,
UCnqCsK0UaxPHAdXPO_d4Q0Q,Mega24News,8533,34200,18665668,,,
